VJ,count,relative.frequency
TRAV1-TRAJ35,2,0.0045871559633
TRAV1-TRAJ48,6,0.0137614678899
TRAV12-TRAJ48,2,0.0045871559633
TRAV17-TRAJ35,2,0.0045871559633
TRAV20-TRAJ48,39,0.0894495412844
TRAV26-TRAJ35,54,0.123853211009
TRAV26-TRAJ48,264,0.605504587156
TRAV27-TRAJ48,3,0.00688073394495
TRAV34-TRAJ35,3,0.00688073394495
TRAV34-TRAJ48,15,0.0344036697248
TRAV35-TRAJ48,20,0.045871559633
TRAV36/DV7-TRAJ35,2,0.0045871559633
TRAV36/DV7-TRAJ48,2,0.0045871559633
TRAV38-TRAJ48,9,0.0206422018349
TRAV4-TRAJ35,2,0.0045871559633
TRAV40-TRAJ48,2,0.0045871559633
TRAV6-TRAJ48,5,0.0114678899083
TRAV8-TRAJ48,2,0.0045871559633
TRAV9-TRAJ35,2,0.0045871559633
